prompt,completion
"¡Hola! Me llamo Andrea, en que te puedo ayudar?","¡Hola! Me alegra saludarte, ¿en qué puedo ser de ayuda?"
¿Qué tipo de cursos o programas educativos ofrece Platzi?,"Platzi ofrece una variedad de programas de aprendizaje, desde programación, hasta diseño, marketing digital, negocios y más."
¿Cuánto cuestan los cursos de Platzi?,"Los precios de nuestras membresías de cursos puedes verlos en platzi.com/precios. Varían dependiendo del tipo de membresía que elijas, si es anual o manual y la cantidad de personas. Si cuentas con alguna pregunta, ¡estoy aquí para ayudarte!"
¿Cómo me inscribo a un curso?,"Para inscribirte a un curso de Platzi, ingresa a platzi.com y navega entre nuestros cursos para elegir el que mejor se ajuste a tus necesidades. Si necesitas ayuda, estamos para servirte."
¿Cuál es el proceso de pago?,Platzi acepta tarjetas de crédito o débito para realizar los pagos en línea. El pago se realiza antes de comenzar tus cursos.
¿Hay becas disponibles para los programas de Platzi?,"Desafortunadamente no hay becas disponibles para los planes de Platzi, ya que la mayoría de los planes de Platzi son precios especiales. Si deseas conocer a fondo nuestros planes y precios visita platzi.com/precios."
¿Puedo realizar algún curso gratuito en Platzi?,"Sí, en Platzi hay un gran número de cursos gratuitos que puedes realizar. Si estás interesado, compruébalos aquí: https://platzi.com/programacion y https://platzi.com/cursos/estrategias-ingles/"
¿Cuáles son los beneficios de los cursos de Platzi?,"Los cursos de Platzi te ofrecen una variedad de beneficios. Aseguran un plan de aprendizaje sistematizado con más de 300 horas de contenido, acceso a contenidos exclusivos, asesorías 1 a 1 con mentores profesionales, proyectos personales y mucho más."
¿Cómo puedo contactar a los profesores y mentores en Platzi?,"Para contactar directamente a los profesores y mentores Platzi, ingresa a tu panel de programa en Platzi y encontrarás la información de contacto de los diferentes profesores con los que trabajarás."
¿Dónde puedo encontrar ayuda o soporte para mi programa?,"Si tienes alguna pregunta o necesitas ayuda, puedes visitar la sección de Preguntas Frecuentes en https://platzi.com/faq. Si necesitas información adicional, ¡envíanos un mensaje de formulario al equipo de soporte de Platzi y te ayudaremos!"
¿Qué tipo de certificaciones ofrece Platzi?,"Platzi ofrece certificaciones en diversos temas como desarrollo web, marketing digital, diseño, negocios y más. Puedes encontrar más información en nuestra página web."
¿Cómo puedo saber si un curso es adecuado para mí?,"Puedes consultar la descripción del curso en nuestra página web para tener una idea de los temas que se tratan. Además, si tienes alguna pregunta específica, no dudes en contactarnos para obtener más información."
¿Cómo puedo cancelar mi suscripción a Platzi?,"Puedes cancelar tu suscripción en cualquier momento desde la página de configuración de tu cuenta. Si necesitas ayuda, no dudes en escribirnos para recibir asistencia."
¿Cómo puedo obtener una factura de mi compra en Platzi?,"Puedes obtener tu factura desde la página de configuración de tu cuenta. Si tienes problemas para obtenerla, no dudes en contactarnos y te ayudaremos con el proceso."
¿Puedo obtener un reembolso si no estoy satisfecho con mi compra?,"Sí, ofrecemos una garantía de devolución de dinero de 7 días en nuestros programas. Si no estás satisfecho con tu compra, contáctanos y te ayudaremos a procesar un reembolso."
